SpectraSuite Data File
++++++++++++++++++++++++++++++++++++
Date: Thu Jan 15 12:35:30 GMT 2015
User: Dimitrios
Dark Spectrum Present: No
Reference Spectrum Present: No
Number of Sampled Component Spectra: 1
Spectrometers: HR+C1689
Integration Time (usec): 17000 (HR+C1689)
Spectra Averaged: 5 (HR+C1689)
Boxcar Smoothing: 0 (HR+C1689)
Correct for Electrical Dark: No (HR+C1689)
Strobe/Lamp Enabled: No (HR+C1689)
Correct for Detector Non-linearity: No (HR+C1689)
Correct for Stray Light: No (HR+C1689)
Number of Pixels in Processed Spectrum: 2048
>>>>>Begin Processed Spectral Data<<<<<
187.87	858.80
188.35	867.60
188.82	855.20
189.30	863.40
189.78	866.80
190.26	863.00
190.74	863.80
191.21	864.20
191.69	869.80
192.17	866.00
192.65	864.20
193.12	852.80
193.60	868.60
194.08	867.60
194.56	858.40
195.04	859.60
195.51	863.20
195.99	864.40
196.47	867.00
196.95	863.80
197.42	861.00
197.90	860.40
198.38	870.60
198.86	866.60
199.33	865.80
199.81	860.60
200.29	862.60
200.77	868.60
201.24	861.20
201.72	862.80
202.20	862.00
202.67	867.40
203.15	864.80
203.63	870.80
204.11	870.00
204.58	864.80
205.06	864.20
205.54	875.00
206.01	864.40
206.49	870.20
206.97	865.40
207.45	862.80
207.92	867.80
208.40	866.00
208.88	867.40
209.35	876.60
209.83	868.40
210.31	862.60
210.78	874.80
211.26	873.80
211.74	861.80
212.21	864.20
212.69	871.60
213.17	865.20
213.64	886.40
214.12	883.00
214.60	859.60
215.07	863.80
215.55	871.80
216.03	860.40
216.50	872.40
216.98	868.60
217.45	860.00
217.93	860.00
218.41	875.40
218.88	867.60
219.36	877.60
219.84	871.80
220.31	867.20
220.79	867.60
221.26	869.20
221.74	860.60
222.22	869.40
222.69	874.60
223.17	864.00
223.64	866.80
224.12	868.40
224.60	860.80
225.07	862.80
225.55	869.80
226.02	873.00
226.50	876.60
226.98	864.40
227.45	870.20
227.93	863.80
228.40	869.00
228.88	864.20
229.35	864.80
229.83	867.60
230.31	855.60
230.78	870.60
231.26	876.40
231.73	863.20
232.21	866.60
232.68	868.20
233.16	875.20
233.63	872.40
234.11	878.00
234.58	855.00
235.06	868.60
235.53	868.60
236.01	867.60
236.49	870.20
236.96	869.00
237.44	869.60
237.91	875.00
238.39	873.20
238.86	862.60
239.34	861.00
239.81	875.80
240.29	868.80
240.76	865.20
241.24	864.60
241.71	868.20
242.19	865.40
242.66	868.60
243.14	859.60
243.61	867.60
244.08	866.20
244.56	865.60
245.03	871.20
245.51	881.60
245.98	861.80
246.46	871.60
246.93	880.60
247.41	869.80
247.88	861.20
248.36	875.20
248.83	872.20
249.31	866.00
249.78	871.60
250.25	869.20
250.73	862.00
251.20	863.80
251.68	854.40
252.15	862.00
252.63	882.60
253.10	868.60
253.57	870.00
254.05	877.60
254.52	870.20
255.00	866.20
255.47	880.40
255.94	874.20
256.42	866.00
256.89	867.40
257.37	870.80
257.84	866.20
258.31	878.00
258.79	858.60
259.26	861.20
259.74	876.80
260.21	864.00
260.68	861.20
261.16	872.20
261.63	871.00
262.10	869.40
262.58	880.60
263.05	869.80
263.53	860.80
264.00	872.40
264.47	871.80
264.95	864.80
265.42	879.20
265.89	874.20
266.37	859.80
266.84	863.00
267.31	868.00
267.79	862.60
268.26	882.60
268.73	875.20
269.21	864.40
269.68	873.20
270.15	879.00
270.63	860.00
271.10	877.60
271.57	873.80
272.05	869.00
272.52	869.80
272.99	867.40
273.46	872.60
273.94	883.20
274.41	873.20
274.88	874.00
275.36	869.00
275.83	871.80
276.30	856.00
276.77	873.40
277.25	867.40
277.72	865.80
278.19	867.00
278.67	878.00
279.14	870.60
279.61	871.20
280.08	868.60
280.56	866.00
281.03	885.00
281.50	868.60
281.97	866.60
282.45	879.20
282.92	869.80
283.39	861.40
283.86	881.60
284.34	868.40
284.81	873.00
285.28	872.00
285.75	864.20
286.23	873.60
286.70	871.40
287.17	865.80
287.64	867.20
288.11	882.40
288.59	878.80
289.06	868.40
289.53	884.20
290.00	867.20
290.47	869.00
290.95	874.20
291.42	872.20
291.89	877.60
292.36	872.40
292.83	873.20
293.31	863.80
293.78	873.60
294.25	877.00
294.72	865.80
295.19	874.40
295.66	866.40
296.14	861.00
296.61	877.60
297.08	873.60
297.55	870.60
298.02	879.00
298.49	869.40
298.97	873.40
299.44	875.80
299.91	872.20
300.38	857.00
300.85	870.60
301.32	872.20
301.79	874.00
302.26	876.40
302.74	873.40
303.21	871.40
303.68	871.80
304.15	874.40
304.62	874.60
305.09	880.00
305.56	864.60
306.03	865.40
306.51	869.20
306.98	867.80
307.45	871.20
307.92	876.40
308.39	866.60
308.86	861.60
309.33	869.80
309.80	878.00
310.27	869.60
310.74	883.20
311.21	877.00
311.68	870.00
312.16	879.20
312.63	893.00
313.10	893.40
313.57	887.80
314.04	874.00
314.51	878.80
314.98	882.80
315.45	881.20
315.92	866.00
316.39	874.80
316.86	882.20
317.33	870.20
317.80	880.60
318.27	878.60
318.74	868.60
319.21	875.00
319.68	876.20
320.15	871.00
320.62	874.20
321.09	869.80
321.56	875.80
322.03	873.00
322.50	886.40
322.97	873.80
323.44	877.20
323.91	879.40
324.38	872.20
324.85	878.60
325.32	874.20
325.79	875.20
326.26	879.80
326.73	874.00
327.20	866.40
327.67	879.60
328.14	881.00
328.61	873.00
329.08	876.00
329.55	880.60
330.02	872.60
330.49	875.80
330.96	885.60
331.43	873.60
331.90	876.60
332.37	876.80
332.84	867.00
333.31	873.80
333.78	881.20
